Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,21.25,21.25,20.600000381469727,21.0,18.059568405151367,7920
2017-09-06,21.5,23.0,20.899999618530273,21.75,18.704553604125977,2240
2017-09-07,18.25,21.0,18.25,21.0,18.059568405151367,3460
2017-09-08,21.5,22.0,20.0,20.75,17.844575881958008,3300
2017-09-11,20.25,20.75,19.75,20.0,17.199588775634766,1100
2017-09-12,20.5,20.5,20.0,20.25,17.414587020874023,240
2017-09-13,20.149999618530273,21.0,19.0,19.0,16.33961296081543,1960
2017-09-14,17.75,20.5,17.75,19.25,16.55460548400879,3800
2017-09-15,18.75,20.25,18.25,18.25,15.694619178771973,1180
2017-09-18,18.0,19.5,17.25,17.75,15.264636993408203,520
2017-09-19,18.600000381469727,19.0,18.0,19.0,16.33961296081543,620
2017-09-20,19.25,19.25,18.0,19.0,16.33961296081543,840
2017-09-21,19.0,19.0,18.25,18.5,15.909621238708496,420
2017-09-22,18.100000381469727,19.0,18.100000381469727,19.0,16.33961296081543,280
2017-09-25,18.25,19.25,17.75,18.25,15.694619178771973,1920
2017-09-26,18.75,18.75,18.399999618530273,18.5,15.909621238708496,260
2017-09-27,18.75,19.549999237060547,18.25,18.5,15.909621238708496,4900
2017-09-28,18.75,18.75,18.25,18.25,15.694619178771973,640
2017-09-29,18.0,18.75,18.0,18.0,15.564919471740723,780
2017-10-02,18.0,19.0,18.0,19.0,16.429637908935547,960
2017-10-03,18.75,20.0,18.75,18.75,16.21345329284668,2400
2017-10-04,20.0,20.25,18.75,18.75,16.21345329284668,2840
2017-10-05,18.75,18.75,18.5,18.600000381469727,16.083749771118164,760
2017-10-06,18.75,19.0,18.25,18.5,15.99727725982666,3580
2017-10-09,18.450000762939453,18.5,18.25,18.5,15.99727725982666,240
2017-10-10,19.149999618530273,19.149999618530273,18.25,18.25,15.781091690063477,620
2017-10-11,18.75,19.0,18.5,18.5,15.99727725982666,340
2017-10-12,18.649999618530273,19.25,18.5,18.5,15.99727725982666,580
2017-10-13,18.75,18.75,18.75,18.75,16.21345329284668,80
2017-10-16,19.5,19.5,18.25,18.75,16.21345329284668,1560
