,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AAPL,AFTM,ATUS,AAPL,AFTM,ATUS,AAPL,AFTM,ATUS,AAPL,AFTM,ATUS,AAPL,AFTM,ATUS,AAPL,AFTM,ATUS
Date,,,,,,,,,,,,,,,,,,
2019-01-02,37.89332962036133,0.01899999938905239,17.1200008392334,39.47999954223633,0.01899999938905239,17.1200008392334,39.712501525878906,0.01899999938905239,17.350000381469727,38.557498931884766,0.01899999938905239,16.209999084472656,38.72249984741211,0.01899999938905239,16.209999084472656,148158800,20000,3672800
2019-01-03,34.118873596191406,0.01899999938905239,17.1200008392334,35.54750061035156,0.01899999938905239,17.1200008392334,36.43000030517578,0.01899999938905239,17.5049991607666,35.5,0.017000000923871994,16.71500015258789,35.994998931884766,0.017000000923871994,16.950000762939453,365248800,68000,4104100
2019-01-04,35.57539367675781,0.01899999938905239,17.40999984741211,37.064998626708984,0.01899999938905239,17.40999984741211,37.13750076293945,0.01899999938905239,17.850000381469727,35.95000076293945,0.01899999938905239,17.19499969482422,36.13249969482422,0.01899999938905239,17.440000534057617,234428400,0,6608500
2019-01-07,35.49620056152344,0.01899999938905239,17.90999984741211,36.98249816894531,0.01899999938905239,17.90999984741211,37.20750045776367,0.01899999938905239,18.100000381469727,36.474998474121094,0.01899999938905239,17.309999465942383,37.17499923706055,0.01899999938905239,17.530000686645508,219111200,0,3768200
2019-01-08,36.17287063598633,0.01899999938905239,18.040000915527344,37.6875,0.01899999938905239,18.040000915527344,37.95500183105469,0.01899999938905239,18.385000228881836,37.130001068115234,0.01899999938905239,17.920000076293945,37.38999938964844,0.01899999938905239,18.200000762939453,164101200,0,4775400
2019-01-09,36.78715133666992,0.01850000023841858,18.31999969482422,38.32749938964844,0.01850000023841858,18.31999969482422,38.63249969482422,0.019999999552965164,18.475000381469727,37.407501220703125,0.017999999225139618,18.049999237060547,37.8224983215332,0.019999999552965164,18.059999465942383,180396400,174000,2292200
2019-01-10,36.90472412109375,0.017999999225139618,17.75,38.45000076293945,0.017999999225139618,17.75,38.49250030517578,0.017999999225139618,18.170000076293945,37.71500015258789,0.017999999225139618,17.719999313354492,38.125,0.017999999225139618,18.139999389648438,143122800,20000,4515600
2019-01-11,36.54239273071289,0.019999999552965164,17.670000076293945,38.0724983215332,0.019999999552965164,17.670000076293945,38.42499923706055,0.019999999552965164,17.889999389648438,37.877498626708984,0.017999999225139618,17.530000686645508,38.220001220703125,0.017999999225139618,17.56999969482422,108092800,104838,2811400
2019-01-14,35.992919921875,0.019999999552965164,17.239999771118164,37.5,0.019999999552965164,17.239999771118164,37.817501068115234,0.019999999552965164,17.780000686645508,37.30500030517578,0.019999999552965164,17.100000381469727,37.712501525878906,0.019999999552965164,17.760000228881836,129756800,0,2606300
2019-01-15,36.729557037353516,0.019999999552965164,17.40999984741211,38.26750183105469,0.019999999552965164,17.40999984741211,38.34749984741211,0.02500000037252903,17.559999465942383,37.51250076293945,0.019999999552965164,17.1299991607666,37.567501068115234,0.019999999552965164,17.15999984741211,114843600,280500,2861100
2019-01-16,37.17826843261719,0.01899999938905239,18.049999237060547,38.73500061035156,0.01899999938905239,18.049999237060547,38.970001220703125,0.01899999938905239,18.059999465942383,38.25,0.01899999938905239,17.469999313354492,38.27000045776367,0.01899999938905239,17.65999984741211,122278800,35008,8211500
2019-01-17,37.3990364074707,0.019999999552965164,18.549999237060547,38.96500015258789,0.019999999552965164,18.549999237060547,39.415000915527344,0.019999999552965164,18.639999389648438,38.314998626708984,0.01899999938905239,17.950000762939453,38.54999923706055,0.019999999552965164,17.950000762939453,119284800,101000,7708000
2019-01-18,37.62937927246094,0.019999999552965164,19.06999969482422,39.20500183105469,0.019999999552965164,19.06999969482422,39.470001220703125,0.019999999552965164,19.06999969482422,38.994998931884766,0.019999999552965164,18.479999542236328,39.375,0.019999999552965164,18.65999984741211,135004000,50000,9803100
2019-01-22,36.784759521484375,0.028049999848008156,18.729999542236328,38.32500076293945,0.028049999848008156,18.729999542236328,39.182498931884766,0.032999999821186066,19.100000381469727,38.154998779296875,0.022199999541044235,18.65999984741211,39.102500915527344,0.03150000050663948,18.950000762939453,121576000,2784541,7142000
2019-01-23,36.93353271484375,0.027000000700354576,18.670000076293945,38.47999954223633,0.027000000700354576,18.670000076293945,38.78499984741211,0.03400000184774399,19.18000030517578,37.92499923706055,0.027000000700354576,18.520000457763672,38.537498474121094,0.03400000184774399,18.93000030517578,92522400,956135,3927800
2019-01-24,36.640777587890625,0.026000000536441803,18.90999984741211,38.17499923706055,0.026000000536441803,18.90999984741211,38.619998931884766,0.029999999329447746,18.979999542236328,37.935001373291016,0.02500000037252903,18.479999542236328,38.52750015258789,0.029999999329447746,18.690000534057617,101766000,398823,6465300
2019-01-25,37.85493469238281,0.024000000208616257,19.100000381469727,39.439998626708984,0.024000000208616257,19.100000381469727,39.532501220703125,0.026000000536441803,19.25,38.58000183105469,0.019999999552965164,18.829999923706055,38.869998931884766,0.02500000037252903,19.0,134142000,648400,6583400
2019-01-28,37.50461959838867,0.019999999552965164,19.139999389648438,39.07500076293945,0.019999999552965164,19.139999389648438,39.08250045776367,0.02800000086426735,19.299999237060547,38.415000915527344,0.017000000923871994,18.81999969482422,38.9474983215332,0.02800000086426735,18.969999313354492,104768400,848325,6593900
2019-01-29,37.115882873535156,0.017999999225139618,18.610000610351562,38.66999816894531,0.017999999225139618,18.610000610351562,39.532501220703125,0.019999999552965164,19.229999542236328,38.52750015258789,0.017999999225139618,18.600000381469727,39.0625,0.019999999552965164,19.139999389648438,166348800,285412,5466500
